Component Name,Description,Price (USD),Link
"Radxa ZERO 3W - 2GB 16GB eMMC with HAT","Main board for the base station",23,https://www.aliexpress.com/item/1005008926850854.html
"RTL8812AU WiFi Module","External WiFi module for receiving",10,https://www.aliexpress.com/item/1005008617329103.html
"Power Bank Module","For charging and powering the box",2,https://www.aliexpress.com/item/1005005672785825.html
"0.96"" OLED Display","For displaying status information",3,https://www.aliexpress.com/item/1005006141235306.html
"40x40x11mm 5V Fan","For cooling the Radxa ZERO 3W",5,https://www.aliexpress.com/item/1005002625465685.html
"6x6mm Push Buttons","For user input (2 buttons)",2,https://www.aliexpress.com/item/4001166999847.html
"Battery Holder for 2x 21700","For battery storage",2,https://www.aliexpress.com/item/1005007474702125.html
"Rocker Switch","For power control",3,https://www.aliexpress.com/item/1005006360929070.html
"Ufl to SMA Cable 2x","For connecting antennas",8,https://www.aliexpress.com/item/4000848776660.html
"USB C Male to 4 wires 2x","For power and data connections",4,https://www.aliexpress.com/item/1005005912113279.html
"High Quality Wires for connections","For connecting components",15,https://www.aliexpress.com/item/1005005450270866.html
"SD Card 128GB","For storage of video recordings",15,https://www.aliexpress.com/item/1005005947146666.html
"TOTAL","","92",
